================================================
INDEX_0 IDEA REPOSITORY
================================================
================================================
IDEA REGISTRY
================================================

IDEA-001  Map System | multi scale simulation mapping | System | All Eras
Tags:
aviation
transport

Description:
Fixed wing aircraft used for medium-range transportation.


------------------------------------------------
IDEA-015
------------------------------------------------

Name: 7P2 Coil Class Energy Generation Ship
Domain: Vehicles

Parent Idea: None

Era:
Planetary Period

Tags:
energy
industrial
spacecraft

Description:
Large orbital vessel designed to generate power using
coil-based energy systems to support frontier colonies.


------------------------------------------------
IDEA-016
------------------------------------------------

Name: Race for Sol Bulldozer
Domain: Vehicles

Parent Idea: None

Era:
Race for Sol

Tags:
construction
industrial
planetary

Description:
Heavy industrial construction vehicle used for early
planetary surface development.



------------------------------------------------
TECHNOLOGY / LOGISTICS
------------------------------------------------


------------------------------------------------
IDEA-020
------------------------------------------------

Name: Foldable Cargo Container
Domain: Technology / Logistics

Parent Idea: None

Era:
Race for Sol

Tags:
cargo
logistics
containerization

Description:
Standardized cargo container capable of collapsing for
return transport to maximize shipping efficiency.


------------------------------------------------
IDEA-171
------------------------------------------------

Name: Container Retrieval Craft
Domain: Technology / Logistics

Parent Idea:
IDEA-020 Foldable Cargo Container

Era:
Race for Inter Sol

Tags:
cargo
spacecraft
logistics

Description:
Spacecraft designed to retrieve cargo containers drifting
in orbital logistics networks.


------------------------------------------------
IDEA-174
------------------------------------------------

Name: GGO Container Latch Standard
Domain: Technology / Logistics

Parent Idea:
IDEA-171 Container Retrieval Craft

Era:
GGO Hegemony Period

Tags:
standard
logistics
cargo
ggo

Description:
Standardized cargo latching mechanism mandated across
GGO logistics networks.



------------------------------------------------
PRODUCTION METHODS
------------------------------------------------


------------------------------------------------
IDEA-030
------------------------------------------------

Name: Distributed Microfactory Production
Domain: Production

Parent Idea: None

Era:
Planetary Period

Tags:
manufacturing
distributed
industry

Description:
Industrial production model where small modular factories
are distributed across settlements and connected via
logistics networks.


------------------------------------------------
IDEA-031
------------------------------------------------

Name: Orbital Shipyard Assembly
Domain: Production

Parent Idea: None

Era:
Planetary Period

Tags:
space
manufacturing
shipbuilding

Description:
Large scale orbital shipyard systems used for spacecraft
construction.


------------------------------------------------
IDEA-032
------------------------------------------------

Name: Vertical Arcology Manufacturing
Domain: Production

Parent Idea: None

Era:
Planetary Period

Tags:
arcology
manufacturing

Description:
Industrial production integrated into vertical megastructures.


------------------------------------------------
ORGANIZATIONS
------------------------------------------------


------------------------------------------------
IDEA-050
------------------------------------------------

Name: Sikorski Aircraft Corporation
Domain: Organization

Parent Idea: None

Era:
Postmodernist Period

Tags:
corporation
aviation

Description:
Historical aerospace corporation known for helicopter
development.


------------------------------------------------
IDEA-051
------------------------------------------------

Name: US Army
Domain: Organization

Parent Idea: None

Era:
Postmodernist Period

Tags:
military
organization

Description:
Major military organization of the United States.


------------------------------------------------
IDEA-165
------------------------------------------------

Name: Terran Biome Diversity Project
Domain: Organization

Parent Idea: None

Era:
Planetary Period

Tags:
terraforming
ecology
science
religious

Description:
A quasi-religious and scientific organization responsible
for large scale terraforming missions across newly settled
worlds.




------------------------------------------------
IDEA-220
------------------------------------------------

CSG Experimental Civilizations

spawned-from: IDEA-165 Terran Biome Diversity Project

CSG seeded worlds where human societies derived from
different historical cultures or constructed cultural
templates are introduced as civilizational experiments.


------------------------------------------------
IDEA-221
------------------------------------------------

Seeding Approach Papers (SAP)

spawned-from: IDEA-220

Internal CSG research documents describing a specific
civilization seeding experiment.

A SAP defines:

- hypothesis
- cultures used as seeds
- technological starting conditions
- ecological parameters
- intervention rules
- completion conditions


------------------------------------------------
IDEA-222
------------------------------------------------

Pre-Contact Culturals

spawned-from: IDEA-221

Civilizations developing under an active SAP that have
no knowledge of the Cultural Seeding Group.

Intervention policy depends on the SAP and may range
from strict non-intervention to covert manipulation.


------------------------------------------------
IDEA-223
------------------------------------------------

Post-Contact Culturals

spawned-from: IDEA-222

Civilizations whose SAP completion conditions have been
fulfilled and which have been contacted by the CSG.


------------------------------------------------
IDEA-224
------------------------------------------------

SAP Completion Conditions

spawned-from: IDEA-221

Conditions defined in a Seeding Approach Paper that
determine when the experiment has fulfilled its
hypothesis and therefore terminates.

Examples:

- reach a defined population
- develop agriculture
- destroy neighboring civilization
- become pacifist society
- achieve planetary unification


------------------------------------------------
IDEA-225
------------------------------------------------

Corporate Interaction on Iranian-Romanian Planet Persanul

spawned-from: IDEA-220

CSG experimental planet Persanul hosts Iranian and
Romanian cultural seeds on separate continents.

A corporation operates from a southern peninsula and
orbital station producing nursery goods (pacifiers,
diapers, infant supplies) in large quantities for the
Transfer Hansa market, violating the CSG no-contact
mandate.


------------------------------------------------
IDEA-220
------------------------------------------------

CSG Experimental Civilizations

spawned-from: IDEA-165 Terran Biome Diversity Project

CSG seeded worlds where human societies derived from
different historical cultures or constructed cultural
templates are introduced as civilizational experiments.


------------------------------------------------
IDEA-221
------------------------------------------------

Seeding Approach Papers (SAP)

spawned-from: IDEA-220

Internal CSG research documents describing a specific
civilization seeding experiment.

A SAP defines:

- hypothesis
- cultures used as seeds
- technological starting conditions
- ecological parameters
- intervention rules
- completion conditions


------------------------------------------------
IDEA-222
------------------------------------------------

Pre-Contact Culturals

spawned-from: IDEA-221

Civilizations developing under an active SAP that have
no knowledge of the Cultural Seeding Group.

Intervention policy depends on the SAP and may range
from strict non-intervention to covert manipulation.


------------------------------------------------
IDEA-223
------------------------------------------------

Post-Contact Culturals

spawned-from: IDEA-222

Civilizations whose SAP completion conditions have been
fulfilled and which have been contacted by the CSG.


------------------------------------------------
IDEA-224
------------------------------------------------

SAP Completion Conditions

spawned-from: IDEA-221

Conditions defined in a Seeding Approach Paper that
determine when the experiment has fulfilled its
hypothesis and therefore terminates.

Examples:

- reach a defined population
- develop agriculture
- destroy neighboring civilization
- become pacifist society
- achieve planetary unification


------------------------------------------------
IDEA-225
------------------------------------------------

Corporate Interaction on Iranian-Romanian Planet Persanul

spawned-from: IDEA-220

CSG experimental planet Persanul hosts Iranian and
Romanian cultural seeds on separate continents.

A corporation operates from a southern peninsula and
orbital station producing nursery goods (pacifiers,
diapers, infant supplies) in large quantities for the
Transfer Hansa market, violating the CSG no-contact
mandate.


------------------------------------------------
IDEA-226
------------------------------------------------

Rust Sector Culture: Oxidation Bands

spawned-from: Rust Sector Industrial Architecture

Rust Sector industrial buildings often feature a distinctive
oxidized metal band running around the outer wall of the
